# label	mx	my	TooBig	Compact	Shadow	fillfac	aspect	contrast	skip?
122	6	6	True	False	False	0.778	1.000	1.364	 
123	4	4	False	True	False	0.875	1.000	10.324	 
124	3	3	False	False	False	0.778	1.000	4.647	 
125	3	3	False	True	False	1.000	1.000	45.336	 
126	3	3	False	True	False	1.000	1.000	126.002	 
127	2	3	False	False	False	1.000	1.500	1.039	 
128	3	4	False	False	False	0.833	1.333	27.834	 
129	2	3	False	False	False	1.000	1.500	1.131	 
130	6	7	True	False	False	0.786	1.167	56.852	 
131	3	4	False	False	False	0.833	1.333	8.547	 
132	4	3	False	False	False	0.833	1.333	8.825	 
133	4	4	False	True	True	0.875	1.000	-61.835	*
134	4	4	False	True	False	0.875	1.000	38.830	 
135	4	4	False	True	False	0.938	1.000	97.320	 
136	3	3	False	True	False	0.889	1.000	3.375	 
137	4	5	False	True	False	0.800	1.250	5.441	 
138	4	4	False	True	False	1.000	1.000	2.308	 
139	3	3	False	True	False	0.889	1.000	2.752	 
140	6	5	False	True	False	0.800	1.200	8.513	 
141	6	6	True	False	False	0.750	1.000	463.755	 
142	5	5	False	False	True	0.720	1.000	-124.291	*
143	2	2	False	True	False	1.000	1.000	7.305	 
144	3	4	False	False	False	0.833	1.333	5.580	 
145	5	4	False	False	True	0.750	1.250	-67.434	*
146	5	6	False	True	False	0.800	1.200	33.893	 
147	4	5	False	True	False	0.800	1.250	9.835	 
148	5	7	False	False	False	0.686	1.400	25.076	 
149	3	3	False	False	False	0.778	1.000	8.670	 
150	6	5	False	True	False	0.800	1.200	18.916	 
151	3	3	False	True	False	1.000	1.000	16.832	 
152	3	3	False	True	False	0.889	1.000	6.559	 
153	5	5	False	True	False	0.840	1.000	190.466	 
154	5	5	False	False	False	0.680	1.000	12.812	 
155	4	4	False	True	False	0.875	1.000	18.089	 
156	4	5	False	True	False	0.800	1.250	100.760	 
157	3	3	False	False	False	0.778	1.000	10.766	 
158	3	4	False	False	False	0.833	1.333	14.332	 
159	4	4	False	True	False	0.875	1.000	37.683	 
160	5	5	False	False	False	0.600	1.000	31.459	 
161	4	4	False	True	False	0.875	1.000	173.814	 
162	5	4	False	True	False	0.800	1.250	6.932	 
163	5	5	False	True	False	0.840	1.000	26.495	 
164	5	5	False	False	False	0.640	1.000	26.346	 
165	4	3	False	False	False	0.833	1.333	14.613	 
166	4	4	False	True	True	0.875	1.000	-15.129	*
167	4	5	False	False	True	0.750	1.250	-6.397	*
168	5	5	False	False	False	0.640	1.000	42.894	 
169	4	4	False	False	False	0.688	1.000	41.081	 
170	5	5	False	False	False	0.520	1.000	40.942	 
171	4	4	False	False	False	0.750	1.000	8.837	 
172	3	4	False	False	False	0.750	1.333	65.884	 
173	4	4	False	True	False	0.875	1.000	20.980	 
174	4	5	False	True	False	0.800	1.250	13.550	 
175	4	4	False	True	False	0.938	1.000	11.406	 
176	5	6	False	False	False	0.767	1.200	28.165	 
177	4	4	False	True	True	0.875	1.000	-6.384	*
178	3	4	False	False	False	0.833	1.333	35.684	 
179	3	4	False	False	True	0.833	1.333	-84.025	*
180	5	5	False	True	False	0.840	1.000	16.926	 
181	5	5	False	False	False	0.720	1.000	5.342	 
182	5	4	False	False	False	0.750	1.250	5.396	 
183	3	4	False	False	False	0.833	1.333	6.790	 
184	4	3	False	False	False	0.833	1.333	21.183	 
185	4	5	False	True	False	0.800	1.250	143.170	 
186	4	4	False	True	True	1.000	1.000	-9.022	*
187	4	3	False	False	False	1.000	1.333	3.386	 
188	6	6	True	True	False	0.806	1.000	7.858	*
189	5	5	False	False	False	0.520	1.000	5.583	 
190	3	3	False	True	False	1.000	1.000	6.827	 
191	3	4	False	False	False	0.833	1.333	8.700	 
192	5	5	False	False	False	0.680	1.000	21.551	 
193	4	3	False	False	False	0.833	1.333	452.087	 
194	4	5	False	False	True	0.750	1.250	-4542.428	*
195	4	3	False	False	False	0.750	1.333	14.108	 
