Title: The population of Galactic planetary nebulae: a study based on their 
       distances from the second Gaia release 
Authors: Stanghellini L., Bucciarelli B., Lattanzi M.G., Morbidelli R. 
Table: Catalog of DR2 parallaxes, derived parallax distances, and 
       ancillary parameters for Galactic PNe
================================================================================
Byte-by-byte Description of file: apjab59e4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---       ID      PN identifier
  12- 30 I19    ---       Gaia    Gaia DR2 identifier
  32- 37 F6.4   mas       plx     Gaia DR2 parallax
  39- 44 F6.4   mas     e_plx     Uncertainty in plx
  46- 47 A2     ---       M       Nebular morphology code (1)
  49- 54 F6.2   arcsec    theta   ? Angular radius
  56- 61 F6.2   [mW/m2]   logFHb  ? log H{beta} integrated flux; erg/s/cm^2^
  63- 66 F4.2   [mW/m2] e_logFHb  ? Uncertainty in logFHb
  68- 72 F5.2   ---       calpha  ? Extinction constant
  74- 77 F4.2   ---     e_calpha  ? Uncertainty in calpha
  79- 84 F6.3   [pc]      logRpc  ? log linear nebula radius (2)
  86- 90 F5.3   [pc]    E_logRpc  ? Upper uncertainty in logRpc
  92- 96 F5.3   [pc]    e_logRpc  ? Lower uncertainty in logRpc
  98-102 A5     ---       Refs    References (3)  
--------------------------------------------------------------------------------
Note (1):
    R = Round;
    E = Elliptical;
005.9-02.6 4065774307705264384 0.5693 0.1497      5.00                                           5,*,* 
006.4-04.6 4053063674191188224 0.1218 0.0507      6.60 -12.10 0.40  0.58 0.10 -0.581 0.313 0.248 4,5,4 
006.8-03.4 4065373776184045824 0.4859 0.1582      2.30 -12.89 0.10  1.47 0.10 -1.639 0.250 0.219 5,5,5 
007.0+06.3 4120037195044273920 0.1384 0.0686      3.20 -12.00 0.20  1.38 0.10 -0.950 0.376 0.272 5,5,5 
007.5+04.3 4118959334445003520 0.1072 0.0837           -13.00 0.30  2.05 0.10                    *,5,5 
007.8-03.7 4065541447474151552 0.1353 0.0994      4.20 -12.90 0.40  1.62 0.10 -0.822 0.655 0.336 5,5,5 
007.8-04.4 4065322923848085760 0.2318 0.1248 BC   2.60 -12.21 0.07  0.99 0.10 -1.265 0.415 0.284 4,4,5 
008.2-04.8 4089296950226796416 0.7752 0.4025      2.00 -12.12 0.07  1.08 0.10 -1.903 0.397 0.279 4,4,4 
009.4-05.0 4089517157442187008 0.4550 0.0505 E    8.30 -10.93 0.02  0.90 0.11 -1.053 0.130 0.143 3,4,4 
009.6+14.8 4141505881131938560 0.3300 0.1033 P   11.40 -11.24 0.01  0.83 0.10 -0.776 0.242 0.215 3,4,4 
009.6-10.6 4073217997070348032 0.3404 0.0977 E    3.70 -12.00 0.20  0.39 0.10 -1.278 0.226 0.206 3,5,5 
009.8-04.6 4090114299627717504 1.7116 0.4980      3.00 -12.24 0.10  1.14 0.10 -2.071 0.229 0.208 4,5,5 
010.7+07.4 4124912429604974592 0.5040 0.3055      5.00 -13.00 0.20  0.80 0.10 -1.318 0.484 0.303 5,5,5 
010.8-01.8 4094354493205707392 0.5409 0.0688 E    6.05 -11.57 0.03  1.51 0.04 -1.266 0.138 0.149 3,4,4 
011.0-05.1 4090264623539239936 0.1728 0.1209 R    3.10 -11.91 0.10  0.34 0.10 -1.061 0.602 0.327 3,5,5 
011.3+02.8 4143767477777335296 0.2537 0.0511           -13.11 0.07  2.19 0.10                    *,4,5 
011.7-00.0 4095521422965004928 1.0472 0.0611      2.60 -13.40 0.30  2.82 0.10 -1.919 0.105 0.122 5,5,5 
011.7-06.6 4079529537413006208 1.0060 0.1185           -11.86 0.07  0.74 0.10                    *,4,5 
012.5-09.8 4078679481797137664 0.4755 0.4172 E    2.40 -11.95 0.07  0.58 0.10 -1.611 0.991 0.370 3,4,5 
012.6-02.7 4096032936429271296 0.1942 0.1577           -12.89 0.10  1.94 0.10                    *,5,5 
013.8-07.9 4080123484141978752 0.3598 0.1983      6.70 -11.90 0.20  0.73 0.08 -1.044 0.427 0.288 4,4,4 
014.0-05.5 4092472404177087872 0.6327 0.0297 B    3.80 -12.32 0.10  1.24 0.10 -1.536 0.100 0.117 2,2,5 
014.8-25.6 6754240246564390784 1.7908 0.3416     23.00                                           5,*,* 
015.9+03.3 4147559379838377344 0.8211 0.2016      2.00 -13.07 0.07  2.85 0.10 -1.928 0.202 0.192 4,4,5 
016.0+13.5 4167707586821183360 0.9610 0.5648 E   30.00                                           5,*,* 
016.1-04.7 4099723653388696192 1.0125 0.1579      0.70 -12.18 0.07  0.99 0.10 -2.475 0.153 0.160 4,4,4 
016.4-01.9 4103910524954236928 0.3244 0.0419 E    6.05 -11.50 0.20  1.11 0.10 -1.044 0.139 0.150 3,5,5 
017.3-21.9 6864617817991978624 0.6278 0.0507     54.00 -11.63 0.05  0.19 0.24 -0.380 0.116 0.131 4,4,4 
018.0+20.1 4366642333006411264 0.3069 0.0914 R    4.00 -11.98 0.03  0.13 0.10 -1.199 0.233 0.210 4,4,4 
018.6-02.2 4104555933892707456 0.5578 0.2493      2.80 -13.40 0.30  2.38 0.10 -1.614 0.336 0.257 4,5,5 
018.9+03.6 4157058752294046848 0.2030 0.0974      0.70                                           4,*,* 
