# label	mx	my	TooBig	Compact	Shadow	fillfac	aspect	contrast	skip?
1	4	4	False	True	False	0.812	1.000	10.682	 
2	4	4	False	True	False	0.812	1.000	12.757	 
3	4	4	False	True	False	0.812	1.000	36.526	 
4	4	4	False	True	True	0.812	1.000	-17.528	*
5	4	4	False	True	False	0.812	1.000	151.916	 
6	4	4	False	False	False	0.750	1.000	46.527	 
7	5	4	False	False	False	0.750	1.250	7.552	 
8	4	5	False	False	True	0.750	1.250	-111.179	*
9	4	4	False	True	True	0.812	1.000	-25.614	*
10	4	4	False	False	True	0.750	1.000	-7.793	*
11	4	4	False	False	False	0.688	1.000	503.258	 
12	4	5	False	False	False	0.750	1.250	82.383	 
13	6	6	True	True	False	0.889	1.000	43.340	*
14	9	8	True	False	False	0.639	1.125	33.259	 
15	5	4	False	False	False	0.750	1.250	3.202	 
16	5	5	False	False	False	0.720	1.000	10.641	 
17	5	5	False	False	False	0.560	1.000	10.771	 
18	4	4	False	True	True	0.812	1.000	-4.566	*
19	4	4	False	False	False	0.688	1.000	6.625	 
20	5	5	False	False	True	0.720	1.000	-90.426	*
21	4	4	False	True	True	0.875	1.000	-5.230	*
22	4	4	False	True	False	0.875	1.000	23.669	 
23	5	5	False	False	False	0.720	1.000	36.548	 
24	4	4	False	True	True	0.875	1.000	-4.220	*
25	4	4	False	True	False	0.812	1.000	12.947	 
26	3	3	False	True	False	0.889	1.000	19.475	 
27	4	4	False	True	False	0.812	1.000	18.980	 
28	5	5	False	False	False	0.720	1.000	12.939	 
29	4	4	False	True	True	0.875	1.000	-29.097	*
30	3	3	False	True	False	0.889	1.000	18.944	 
31	4	4	False	True	False	0.812	1.000	10.759	 
32	4	5	False	True	False	0.800	1.250	58.660	 
33	4	4	False	True	False	0.875	1.000	10.145	 
34	4	4	False	True	False	0.812	1.000	16.335	 
35	4	4	False	True	True	1.000	1.000	-14.936	*
36	5	4	False	False	False	0.600	1.250	15.082	 
37	4	4	False	True	True	0.875	1.000	-8.244	*
38	4	4	False	True	True	0.875	1.000	-121.401	*
39	4	5	False	False	False	0.750	1.250	21.882	 
40	4	4	False	True	True	0.875	1.000	-13.528	*
41	4	4	False	True	False	1.000	1.000	34.843	 
42	6	5	False	True	False	0.833	1.200	3.376	 
43	4	5	False	True	False	0.800	1.250	15.221	 
44	4	5	False	True	False	0.800	1.250	32.799	 
45	5	5	False	True	False	0.840	1.000	5.150	 
46	4	4	False	True	False	0.875	1.000	7.489	 
47	4	4	False	True	False	0.812	1.000	30.675	 
48	4	4	False	True	False	0.875	1.000	29.273	 
49	5	5	False	False	False	0.760	1.000	52.428	 
50	3	3	False	True	False	1.000	1.000	377.465	 
51	3	3	False	True	False	1.000	1.000	11.550	 
52	4	5	False	True	False	0.800	1.250	4.047	 
53	5	4	False	True	False	0.900	1.250	12.294	 
54	4	4	False	True	False	0.875	1.000	20.474	 
55	5	5	False	False	False	0.520	1.000	23.746	 
56	5	5	False	False	False	0.680	1.000	8.816	 
57	5	4	False	True	False	0.850	1.250	10.118	 
58	3	3	False	True	False	0.889	1.000	3.935	 
59	3	4	False	False	False	0.750	1.333	10.779	 
60	4	3	False	False	False	0.667	1.333	7.111	 
61	3	4	False	False	False	0.833	1.333	12.123	 
62	4	4	False	True	False	0.812	1.000	6.459	 
63	3	3	False	True	False	0.889	1.000	4.803	 
64	4	3	False	False	False	0.667	1.333	21.224	 
65	5	5	False	False	False	0.720	1.000	12.117	 
66	3	3	False	False	False	0.667	1.000	17.937	 
67	3	3	False	True	False	1.000	1.000	5.642	 
68	4	4	False	True	False	0.938	1.000	14.905	 
69	3	3	False	True	False	0.889	1.000	7.290	 
70	5	4	False	True	False	0.800	1.250	3.409	 
71	5	4	False	True	False	0.850	1.250	5.457	 
72	4	4	False	True	False	0.875	1.000	11.516	 
73	4	4	False	True	False	0.875	1.000	7.901	 
74	3	3	False	True	False	0.889	1.000	9.503	 
75	5	4	False	True	False	0.800	1.250	8.940	 
